frame,timecode,shot,keyframe,action_ko,no_burned_text
50,00:04.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
51,00:05.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
52,00:05.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
53,00:05.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
54,00:05.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
55,00:05.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
56,00:05.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
57,00:05.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
58,00:05.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
59,00:05.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
60,00:05.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
61,00:06.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
62,00:06.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
63,00:06.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
64,00:06.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
65,00:06.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
66,00:06.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
67,00:06.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
68,00:06.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
69,00:06.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
70,00:06.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
71,00:07.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
72,00:07.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
73,00:07.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
74,00:07.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
75,00:07.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
76,00:07.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
77,00:07.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
78,00:07.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
79,00:07.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
80,00:07.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
81,00:08.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
82,00:08.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
83,00:08.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
84,00:08.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
85,00:08.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
86,00:08.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
87,00:08.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
88,00:08.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
89,00:08.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
90,00:08.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
91,00:09.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
92,00:09.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
93,00:09.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
94,00:09.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
95,00:09.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
96,00:09.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
97,00:09.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
98,00:09.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
99,00:09.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
100,00:09.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
101,00:10.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
102,00:10.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
103,00:10.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
104,00:10.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
105,00:10.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
106,00:10.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
107,00:10.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
108,00:10.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
109,00:10.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
110,00:10.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
111,00:11.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
112,00:11.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
113,00:11.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
114,00:11.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
115,00:11.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
116,00:11.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
117,00:11.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
118,00:11.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
119,00:11.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
120,00:11.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
121,00:12.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
122,00:12.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
123,00:12.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
124,00:12.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
125,00:12.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
126,00:12.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
127,00:12.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
128,00:12.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
129,00:12.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
130,00:12.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
131,00:13.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
132,00:13.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
133,00:13.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
134,00:13.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
135,00:13.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
136,00:13.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
137,00:13.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
138,00:13.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
139,00:13.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
140,00:13.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
141,00:14.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
142,00:14.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
143,00:14.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
144,00:14.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
145,00:14.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
146,00:14.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
147,00:14.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
148,00:14.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
149,00:14.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
150,00:14.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
151,00:15.0,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
152,00:15.1,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
153,00:15.2,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
154,00:15.3,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
155,00:15.4,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
156,00:15.5,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
157,00:15.6,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
158,00:15.7,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
159,00:15.8,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
160,00:15.9,002,kf_002_store_wide_alt.png,간판의 작은 별들이 하나씩 따뜻하게 켜진다.,yes
161,00:16.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
162,00:16.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
163,00:16.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
164,00:16.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
165,00:16.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
166,00:16.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
167,00:16.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
168,00:16.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
169,00:16.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
170,00:16.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
171,00:17.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
172,00:17.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
173,00:17.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
174,00:17.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
175,00:17.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
176,00:17.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
177,00:17.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
178,00:17.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
179,00:17.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
180,00:17.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
181,00:18.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
182,00:18.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
183,00:18.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
184,00:18.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
185,00:18.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
186,00:18.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
187,00:18.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
188,00:18.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
189,00:18.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
190,00:18.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
191,00:19.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
192,00:19.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
193,00:19.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
194,00:19.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
195,00:19.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
196,00:19.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
197,00:19.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
198,00:19.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
199,00:19.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
200,00:19.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
201,00:20.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
202,00:20.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
203,00:20.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
204,00:20.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
205,00:20.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
206,00:20.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
207,00:20.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
208,00:20.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
209,00:20.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
210,00:20.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
211,00:21.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
212,00:21.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
213,00:21.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
214,00:21.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
215,00:21.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
216,00:21.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
217,00:21.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
218,00:21.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
219,00:21.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
220,00:21.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
221,00:22.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
222,00:22.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
223,00:22.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
224,00:22.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
225,00:22.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
226,00:22.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
227,00:22.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
228,00:22.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
229,00:22.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
230,00:22.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
231,00:23.0,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
232,00:23.1,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
233,00:23.2,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
234,00:23.3,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
235,00:23.4,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
236,00:23.5,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
237,00:23.6,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
238,00:23.7,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
239,00:23.8,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
240,00:23.9,003,kf_005_door_meeting.png,주무가 빗속에서 날아와 모치 옆에 멈춘다.,yes
241,00:24.0,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
242,00:24.1,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
243,00:24.2,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
244,00:24.3,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
245,00:24.4,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
246,00:24.5,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
247,00:24.6,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
248,00:24.7,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
249,00:24.8,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
250,00:24.9,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
251,00:25.0,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
252,00:25.1,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
253,00:25.2,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
254,00:25.3,004,kf_006_door_meeting_alt.png,자동문 센서가 별가루에 반응하며 빛난다.,yes
