frame,timecode,shot_id,keyframe,action_ko,dialogue_ko,sfx_ko,openart_prompt
31,00:03.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
32,00:03.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
33,00:03.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
34,00:03.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
35,00:03.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
36,00:03.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
37,00:03.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
38,00:03.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
39,00:03.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
40,00:03.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
41,00:04.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
42,00:04.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
43,00:04.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
44,00:04.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
45,00:04.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
46,00:04.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
47,00:04.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
48,00:04.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
49,00:04.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
50,00:04.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
51,00:05.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
52,00:05.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
53,00:05.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
54,00:05.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
55,00:05.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
56,00:05.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
57,00:05.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
58,00:05.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
59,00:05.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
60,00:05.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
61,00:06.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
62,00:06.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
63,00:06.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
64,00:06.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
65,00:06.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
66,00:06.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
67,00:06.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
68,00:06.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
69,00:06.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
70,00:06.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
71,00:07.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
72,00:07.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
73,00:07.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
74,00:07.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
75,00:07.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
76,00:07.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
77,00:07.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
78,00:07.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
79,00:07.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
80,00:07.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
81,00:08.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
82,00:08.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
83,00:08.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
84,00:08.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
85,00:08.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
86,00:08.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
87,00:08.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
88,00:08.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
89,00:08.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
90,00:08.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
91,00:09.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
92,00:09.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
